address,lat,lng
3600 w 59th st,41.78636435,-87.7142225757278
5600 n christiana av,41.983141,-87.712641
800 w waveland,41.949259,-87.6565243554175
10900 s western,-33.71745,18.9963167
1700 e 86th pl,41.7380547,-87.582563963057
2000 n kilpatrick,41.9635681,-87.7450528
3800 s albany,40.249168,-94.338345
4000 w 30th st,41.838803,-87.724567
700 s independance,41.89520345,-87.62373507429783
5200 w ainsile,41.9718179,-87.6718995
4200 w 00 st,41.8178762,-87.631289
9000 s kingston ave,41.731639,-87.562345
5600 n artesian,41.8241419,-87.6856964
2000 w division street,41.9032604,-87.6728753
600 n dearborn st,41.89268195,-87.630158174314
700 n noble,41.9066751,-87.6630518
10300 s walden pw,41.7061742,-87.6690164
3000 s homan ave,41.8388483,-87.7100192661464
7300 s winchester,41.7610432,-87.67249745291028
1600 w cornelia,41.945246,-87.668982
1900 n keeler,41.91539455,-87.73166990663884
10000 w ohare,41.97310105,-87.9067678854723
8800 s south chicago,41.73251,-87.721453
4600 w monroe,41.8805458,-87.6339601
2200 w belmont,41.9397097,-87.683369773465
300 w huron st,41.894832,-87.637274
4000 s archer,41.820317149999994,-87.72473200126171
600 w deming,41.928102,-87.644403
4900 w lake st,41.886864,-87.748115
1100 n wood st,41.901573,-87.672448
2900 n harding ave,41.933755,-87.725941
1200 w madison,38.6990755,-90.1661644
1 w elm st,41.903078,-87.629583
200 s canal,41.8794322,-87.6295893
300 w wendell,41.901371,-87.637035
2300 n stockton dr,41.9238582935202,-87.6358906522828
8400 w leland,41.9665628,-87.7157565
1600 n lowell,41.2917251,-87.4136319264032
900 e 79th st,41.751405,-87.601986
400 n state st,41.8896287,-87.6282314
6500 n rockwell,41.99198565,-87.6941195399312
1500 n wells st,41.90928445,-87.6349893087205
1 e 53rd st,41.798064,-87.624012
5400 w edmunds,41.9708146,-87.7664736
800 n dearborn st,41.89681425,-87.6300918254484
8300 s kildare ave,41.741474,-87.729049
100 w 9th street,41.870546,-87.627596
400 n wabash av,41.8891531299915,-87.6266700386576
1100 w 18th st,41.858078,-87.653503
200 w montrose hrb dr,41.9648886,-87.6362339
3600 n sacramento,41.88964985,-87.7008938485065
6700 s champlain,41.6923186,-87.607197
800 w lawrence,41.96888255,-87.65391345
1100 w 17th pl,41.8583531,-87.6461488
900 w armitage av,41.9183152,-87.6511515992893
1700 n mango,41.911293549999996,-87.7694413371633
100 n leclaire,41.881842,-87.752782
900 w granville ave,41.994674,-87.654927
1700 w greenleaf av,42.010314,-87.672448
800 n springfield,41.0445265,-81.4373585
700 e 132nd st,41.65600375,-87.6044134635097
1600 s ridgeway,41.6877303,-87.7137145
2700 s sacramento,41.84264065,-87.70056717460153
7 n clinton,41.8834706,-87.6414273
5800 n talman,41.98690325,-87.69593775000001
1200 w roosevelt,41.8672899,-87.6571362830615
3700 n recreation dr,41.9512273,-87.6438467
6000 w nelson,41.9358599,-87.77646843710244
1700 n damen av,41.9124343,-87.6778044315492
10600 s forest,41.701661900000005,-87.61633691491525
4700 n sheridan rd,41.967395,-87.65491
3200 n leavitt,41.9210937,-87.6826355
